date,position,regime,prob_high_vol,prob_low_vol,entry_spread,execution_style
2012-01-31,bear_steepener,high_uncertainty,1.0,0.0,0.01781438159082961,pay_spread
2012-02-29,bear_steepener,high_uncertainty,1.0,0.0,0.019429664976292005,pay_spread
2012-03-30,bear_steepener,high_uncertainty,1.0,0.0,0.0183181542380004,pay_spread
2012-04-27,bear_steepener,high_uncertainty,1.0,0.0,0.0202140149142538,pay_spread
2012-05-31,bear_steepener,high_uncertainty,1.0,0.0,0.0230147112345081,pay_spread
2012-06-29,bear_steepener,high_uncertainty,1.0,0.0,0.02161600419772121,pay_spread
2012-07-31,bear_steepener,high_uncertainty,1.0,0.0,0.013944082284788495,pay_spread
2012-08-31,bear_steepener,high_uncertainty,1.0,0.0,0.012089745764066698,pay_spread
2012-09-28,bear_steepener,high_uncertainty,1.0,0.0,0.0155099546940516,pay_spread
2012-10-30,bear_steepener,high_uncertainty,1.0,0.0,0.014124965869773992,pay_spread
2012-11-30,bear_steepener,high_uncertainty,1.0,0.0,0.020361095232371396,pay_spread
2012-12-28,bear_steepener,high_uncertainty,1.0,0.0,0.01694660872010839,pay_spread
2013-01-30,bear_steepener,high_uncertainty,1.0,0.0,0.019200101043048895,pay_spread
2013-02-27,bear_steepener,high_uncertainty,1.0,0.0,0.013091966718485698,pay_spread
2013-03-28,bear_steepener,high_uncertainty,1.0,0.0,0.014962581624791804,pay_spread
2013-04-30,bear_steepener,high_uncertainty,1.0,0.0,0.010118937537104897,pay_spread
2013-05-31,bear_steepener,high_uncertainty,1.0,0.0,0.014077714011290904,pay_spread
2013-06-28,bear_steepener,high_uncertainty,1.0,0.0,0.015210442563068999,pay_spread
2013-07-30,bear_steepener,high_uncertainty,1.0,0.0,0.0158885053997449,pay_spread
2013-08-30,bear_steepener,high_uncertainty,1.0,0.0,0.013617541695940302,pay_spread
2013-09-30,bear_steepener,high_uncertainty,1.0,0.0,0.012765808767692705,pay_spread
2013-10-31,bear_steepener,high_uncertainty,1.0,0.0,0.008924412249381494,pay_spread
2013-11-29,bear_steepener,high_uncertainty,1.0,0.0,0.015162081447807702,pay_spread
2013-12-27,bear_steepener,high_uncertainty,1.0,0.0,0.020224605008660496,pay_spread
2014-01-31,bear_steepener,high_uncertainty,1.0,0.0,0.00795101023033809,pay_spread
2014-02-28,bear_steepener,high_uncertainty,1.0,0.0,0.007285306853573703,pay_spread
2014-03-28,bear_steepener,high_uncertainty,1.0,0.0,0.005615960853678992,pay_spread
2014-04-30,bear_steepener,high_uncertainty,1.0,0.0,0.0036688078543146013,pay_spread
2014-05-30,bear_steepener,high_uncertainty,1.0,0.0,0.0044294381109361985,pay_spread
2014-06-30,bear_steepener,high_uncertainty,1.0,0.0,0.009527043151256603,pay_spread
2014-07-31,bear_steepener,high_uncertainty,1.0,0.0,0.006858968103533106,pay_spread
2014-08-29,bear_steepener,high_uncertainty,1.0,0.0,-0.0027589648470393996,pay_spread
2014-09-30,bear_steepener,high_uncertainty,1.0,0.0,-0.0019003151462761853,pay_spread
2014-10-31,bear_steepener,high_uncertainty,1.0,0.0,-0.006791448236110886,pay_spread
2014-11-28,bear_steepener,high_uncertainty,1.0,0.0,-0.01052817498221259,pay_spread
2014-12-29,bear_steepener,high_uncertainty,1.0,0.0,-0.007492547092776483,pay_spread
2015-01-30,bear_steepener,high_uncertainty,1.0,0.0,-0.008636598355878211,pay_spread
2015-02-27,bear_steepener,high_uncertainty,1.0,0.0,-0.007787316362877189,pay_spread
2015-03-31,bear_steepener,high_uncertainty,1.0,0.0,-0.006824029128629006,pay_spread
2015-04-30,bear_steepener,high_uncertainty,1.0,0.0,-0.010332603870324392,pay_spread
2015-05-29,bear_steepener,high_uncertainty,1.0,0.0,-0.01215151585051881,pay_spread
2015-06-30,bear_steepener,high_uncertainty,1.0,0.0,-0.017117930259291203,pay_spread
2015-07-31,bear_steepener,high_uncertainty,1.0,0.0,-0.002818049739319317,pay_spread
2015-08-28,bear_steepener,high_uncertainty,1.0,0.0,0.0016592304946138892,pay_spread
2015-09-30,bear_steepener,high_uncertainty,1.0,0.0,-0.003231914259511498,pay_spread
2015-10-29,bear_steepener,high_uncertainty,1.0,0.0,0.002031125829257796,pay_spread
2015-11-30,bear_steepener,high_uncertainty,1.0,0.0,-0.005141882807984305,pay_spread
2015-12-29,bear_steepener,high_uncertainty,1.0,0.0,-0.0018142883541167887,pay_spread
2016-01-29,bear_steepener,high_uncertainty,1.0,0.0,0.013432290820634796,pay_spread
2016-02-26,bear_steepener,high_uncertainty,1.0,0.0,0.018269160248505195,pay_spread
2016-03-30,bear_steepener,high_uncertainty,1.0,0.0,0.00562829646489571,pay_spread
2016-04-29,bear_steepener,high_uncertainty,1.0,0.0,0.0010170711949732958,pay_spread
2016-05-31,bear_steepener,high_uncertainty,1.0,0.0,0.006156936649290207,pay_spread
2016-06-29,bear_steepener,high_uncertainty,1.0,0.0,-0.0021117178246002066,pay_spread
2016-07-29,bear_steepener,high_uncertainty,1.0,0.0,-0.003940345671030687,pay_spread
2016-08-31,bear_steepener,high_uncertainty,1.0,0.0,-0.001552533924783897,pay_spread
2016-09-30,bear_steepener,high_uncertainty,1.0,0.0,0.0025245190822101027,pay_spread
2016-10-31,bear_steepener,high_uncertainty,1.0,0.0,-0.000873682010244195,pay_spread
2016-11-28,bear_steepener,high_uncertainty,1.0,0.0,0.009615396738676701,pay_spread
2016-12-27,bear_steepener,high_uncertainty,1.0,0.0,0.011762332362402109,pay_spread
2017-01-31,bear_steepener,high_uncertainty,1.0,0.0,0.012496293914645393,pay_spread
2017-02-24,bear_steepener,high_uncertainty,1.0,0.0,0.011049529254092597,pay_spread
2017-03-31,bear_steepener,high_uncertainty,1.0,0.0,0.012402224472794807,pay_spread
2017-04-28,bear_steepener,high_uncertainty,1.0,0.0,0.01588718108810301,pay_spread
2017-05-26,bear_steepener,high_uncertainty,1.0,0.0,0.023799351248298795,pay_spread
2017-06-30,bear_steepener,high_uncertainty,1.0,0.0,0.023794863075151607,pay_spread
2017-07-28,bear_steepener,high_uncertainty,1.0,0.0,0.0259683425099842,pay_spread
2017-08-30,bear_steepener,high_uncertainty,1.0,0.0,0.028101514837937505,pay_spread
2017-09-29,bear_steepener,high_uncertainty,1.0,0.0,0.02810048339344859,pay_spread
2017-10-30,bear_steepener,high_uncertainty,1.0,0.0,0.028031937914726898,pay_spread
2017-11-29,bear_steepener,high_uncertainty,1.0,0.0,0.033185350044976594,pay_spread
2017-12-28,bear_steepener,high_uncertainty,1.0,0.0,0.0343977905376327,pay_spread
2018-01-31,bear_steepener,high_uncertainty,1.0,0.0,0.025001480367262893,pay_spread
2018-02-28,bear_steepener,high_uncertainty,1.0,0.0,0.028259051047811096,pay_spread
2018-03-28,bear_steepener,high_uncertainty,1.0,0.0,0.030740260230894406,pay_spread
2018-04-30,bear_steepener,high_uncertainty,1.0,0.0,0.0343896514581179,pay_spread
2018-05-30,bear_steepener,high_uncertainty,1.0,0.0,0.041593310102108,pay_spread
2018-06-29,bear_steepener,high_uncertainty,1.0,0.0,0.031034262116949887,pay_spread
2018-07-30,bear_steepener,high_uncertainty,1.0,0.0,0.02997985872889239,pay_spread
2018-08-31,bear_steepener,high_uncertainty,1.0,0.0,0.032489409860134905,pay_spread
2018-09-28,bear_steepener,high_uncertainty,1.0,0.0,0.03284291452635721,pay_spread
2018-10-29,bear_steepener,high_uncertainty,1.0,0.0,0.022730306854984894,pay_spread
2018-11-30,bear_steepener,high_uncertainty,1.0,0.0,0.023897123567917303,pay_spread
2018-12-28,bear_steepener,high_uncertainty,1.0,0.0,0.026268957687793512,pay_spread
2019-01-31,bear_steepener,high_uncertainty,1.0,0.0,0.0247608668851272,pay_spread
2019-02-28,bear_steepener,high_uncertainty,1.0,0.0,0.022947885903264298,pay_spread
2019-03-29,bear_steepener,high_uncertainty,1.0,0.0,0.021694066321220812,pay_spread
2019-04-30,bear_steepener,high_uncertainty,1.0,0.0,0.021110820238539496,pay_spread
2019-05-31,bear_steepener,high_uncertainty,1.0,0.0,0.022935685514668,pay_spread
2019-06-28,bear_steepener,high_uncertainty,1.0,0.0,0.0181983632999088,pay_spread
2019-07-29,bear_steepener,high_uncertainty,1.0,0.0,0.019791167663364605,pay_spread
2019-08-30,bear_steepener,high_uncertainty,1.0,0.0,0.0196076017484517,pay_spread
2019-09-30,bear_steepener,high_uncertainty,1.0,0.0,0.021385959447089105,pay_spread
2019-10-31,bear_steepener,high_uncertainty,1.0,0.0,0.0191526445031416,pay_spread
2019-11-29,bear_steepener,high_uncertainty,1.0,0.0,0.019303196112837,pay_spread
2019-12-30,bear_steepener,high_uncertainty,1.0,0.0,0.018285921546098705,pay_spread
2020-01-31,bear_steepener,high_uncertainty,1.0,0.0,0.019248136531668993,pay_spread
2020-02-28,bear_steepener,high_uncertainty,1.0,0.0,0.024021394708384297,pay_spread
2020-03-31,bear_steepener,high_uncertainty,1.0,0.0,0.043092451883272896,pay_spread
2020-04-30,bear_steepener,high_uncertainty,1.0,0.0,0.0442198819791555,pay_spread
2020-05-29,bear_steepener,high_uncertainty,1.0,0.0,0.0419075327966294,pay_spread
2020-06-30,bear_steepener,high_uncertainty,1.0,0.0,0.0394362853254029,pay_spread
2020-07-31,bear_steepener,high_uncertainty,1.0,0.0,0.0356947767250955,pay_spread
2020-08-31,bear_steepener,high_uncertainty,1.0,0.0,0.0419135571634521,pay_spread
2020-09-30,bear_steepener,high_uncertainty,1.0,0.0,0.0447560457342053,pay_spread
2020-10-30,bear_steepener,high_uncertainty,1.0,0.0,0.0352166524823703,pay_spread
2020-11-30,bear_steepener,high_uncertainty,1.0,0.0,0.0356007234028983,pay_spread
2020-12-30,bear_steepener,high_uncertainty,1.0,0.0,0.026263833625942902,pay_spread
2021-01-29,bear_steepener,high_uncertainty,1.0,0.0,0.0252024095531911,pay_spread
