date,position,regime,execution_style,curve_spread,spread_change,daily_pnl,curve_pnl,carry_pnl,holding_period_start,holding_period_end
2012-02-01,bear_steepener,high_uncertainty,pay_spread,0.018425073554928506,0.0006106919640988945,0.11817013885152493,0.1221383928197789,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-02,bear_steepener,high_uncertainty,pay_spread,0.018080054815202,-0.00034501873972650476,-0.07297200191355492,-0.06900374794530095,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-03,bear_steepener,high_uncertainty,pay_spread,0.016805811289578296,-0.0012742435256237056,-0.25881695909299507,-0.2548487051247411,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-06,bear_steepener,high_uncertainty,pay_spread,0.017438862170746,0.0006330508811677044,0.1226419222652869,0.12661017623354087,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-07,bear_steepener,high_uncertainty,pay_spread,0.017822851661239106,0.0003839894904931057,0.07282964413036717,0.07679789809862114,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-08,bear_steepener,high_uncertainty,pay_spread,0.020083335011272796,0.00226048335003369,0.4481284160384841,0.45209667000673803,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-09,bear_steepener,high_uncertainty,pay_spread,0.022243561209429788,0.002160226198156992,0.42807698566314445,0.4320452396313984,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-10,bear_steepener,high_uncertainty,pay_spread,0.02078118520157249,-0.0014623760078572995,-0.29644345553971385,-0.2924752015714599,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-13,bear_steepener,high_uncertainty,pay_spread,0.019480813834782187,-0.001300371366790301,-0.26404252732631417,-0.2600742733580602,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-14,bear_steepener,high_uncertainty,pay_spread,0.0180109282366588,-0.0014698855981233883,-0.2979453735929316,-0.29397711962467765,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-15,bear_steepener,high_uncertainty,pay_spread,0.0183970856444457,0.00038615740778689955,0.07326322758912594,0.07723148155737991,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-16,bear_steepener,high_uncertainty,pay_spread,0.0179833467364532,-0.00041373890799249746,-0.08671603556675346,-0.08274778159849949,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-17,bear_steepener,high_uncertainty,pay_spread,0.0185827126699272,0.000599365933473997,0.11590493272654544,0.1198731866947994,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-22,bear_steepener,high_uncertainty,pay_spread,0.017968408459150903,-0.0006143042107762953,-0.126829096123513,-0.12286084215525905,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-23,bear_steepener,high_uncertainty,pay_spread,0.0195050965578438,0.0015366880986928955,0.30336936577032514,0.3073376197385791,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-24,bear_steepener,high_uncertainty,pay_spread,0.020000879154983997,0.0004957825971401986,0.09518826545978575,0.09915651942803971,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-27,bear_steepener,high_uncertainty,pay_spread,0.018431530700274687,-0.00156934845470931,-0.31783794491011597,-0.313869690941862,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-28,bear_steepener,high_uncertainty,pay_spread,0.018517294092614198,8.576339233951069e-05,0.01318442449964817,0.017152678467902138,-0.003968253968253968,2012-01-31,2012-02-29
2012-02-29,bear_steepener,high_uncertainty,pay_spread,0.019429664976292005,0.0009123708836778072,0.17850592276730748,0.18247417673556143,-0.003968253968253968,2012-01-31,2012-02-29
2012-03-01,bear_steepener,high_uncertainty,pay_spread,0.020692201478061792,0.001262536501769787,0.24853904638570345,0.2525073003539574,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-02,bear_steepener,high_uncertainty,pay_spread,0.021400866183713493,0.0007086647056517015,0.13776468716208634,0.1417329411303403,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-05,bear_steepener,high_uncertainty,pay_spread,0.019873339089344397,-0.0015275270943690966,-0.3094736728420733,-0.3055054188738193,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-06,bear_steepener,high_uncertainty,pay_spread,0.018885159564172194,-0.000988179525172203,-0.20160415900269457,-0.19763590503444062,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-07,bear_steepener,high_uncertainty,pay_spread,0.0194005202702823,0.0005153607061101073,0.0991038872537675,0.10307214122202146,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-08,bear_steepener,high_uncertainty,pay_spread,0.021832970637277307,0.0024324503669950065,0.48252181943074735,0.4864900733990013,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-09,bear_steepener,high_uncertainty,pay_spread,0.021386748115229004,-0.0004462225220483035,-0.09321275837791466,-0.0892445044096607,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-12,bear_steepener,high_uncertainty,pay_spread,0.0223792960355549,0.0009925479203258952,0.1945413300969251,0.19850958406517905,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-13,bear_steepener,high_uncertainty,pay_spread,0.022383206222566204,3.910187011305077e-06,-0.0031862165659929526,0.0007820374022610155,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-14,bear_steepener,high_uncertainty,pay_spread,0.024079723398800393,0.0016965171762341885,0.33533518127858375,0.3393034352468377,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-15,bear_steepener,high_uncertainty,pay_spread,0.019295901568731594,-0.004783821830068799,-0.9607326199820138,-0.9567643660137598,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-16,bear_steepener,high_uncertainty,pay_spread,0.0199761026779028,0.0006802011091712051,0.13207196786598707,0.13604022183424103,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-19,bear_steepener,high_uncertainty,pay_spread,0.0190641353599577,-0.0009119673179451004,-0.18636171755727404,-0.1823934635890201,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-20,bear_steepener,high_uncertainty,pay_spread,0.0197152556024644,0.0006511202425067003,0.1262557945330861,0.13022404850134006,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-21,bear_steepener,high_uncertainty,pay_spread,0.01947641672718249,-0.00023883887528190761,-0.05173602902463549,-0.04776777505638152,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-22,bear_steepener,high_uncertainty,pay_spread,0.01905449321986731,-0.0004219235073151806,-0.08835295543129008,-0.08438470146303612,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-23,bear_steepener,high_uncertainty,pay_spread,0.019109471442688195,5.497822282088394e-05,0.0070273905959228194,0.010995644564176787,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-26,bear_steepener,high_uncertainty,pay_spread,0.019068984999483604,-4.048644320459038e-05,-0.012065542609172045,-0.008097288640918077,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-27,bear_steepener,high_uncertainty,pay_spread,0.0185347976063608,-0.0005341873931228036,-0.11080573259281469,-0.10683747862456072,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-28,bear_steepener,high_uncertainty,pay_spread,0.0184332149172928,-0.00010158268906799994,-0.024284791781853957,-0.02031653781359999,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-29,bear_steepener,high_uncertainty,pay_spread,0.017846505340798208,-0.0005867095764945929,-0.12131016926717254,-0.11734191529891858,-0.003968253968253968,2012-02-29,2012-03-30
2012-03-30,bear_steepener,high_uncertainty,pay_spread,0.0183181542380004,0.0004716488972021926,0.09036152547218455,0.09432977944043852,-0.003968253968253968,2012-02-29,2012-03-30
