date,position_type,position_size,std_4y,spread_level,execution_style,regime
2012-02-01,bear_steepener,0.2435856071018965,0.4197814207650273,0.018425073554928506,collect_carry,low_uncertainty
2012-02-23,bear_steepener,0.31350474282445884,0.4540983606557378,0.0195050965578438,standard,medium_uncertainty
2012-03-01,bear_steepener,0.2321070872150329,0.4,0.020692201478061792,collect_carry,low_uncertainty
2012-04-09,bear_steepener,0.2923219864790827,0.4463387978142076,0.0192391194149589,standard,medium_uncertainty
2012-04-26,bear_steepener,0.2223566870348932,0.3831967213114754,0.019496985892164087,collect_carry,low_uncertainty
2012-05-25,bear_steepener,0.28068638792317213,0.4420765027322404,0.0195855775830807,standard,medium_uncertainty
2012-07-10,bear_steepener,0.22601903246840907,0.3895081967213115,0.021189174470319802,collect_carry,low_uncertainty
2012-09-06,bear_steepener,0.3023166672899292,0.45,0.013134176118131405,standard,medium_uncertainty
2012-09-12,bear_steepener,0.36511906462375426,0.4730054644808742,0.015676859205372207,standard,medium_uncertainty
2012-09-24,bear_steepener,0.27695702941166217,0.4407103825136611,0.016841856121105697,standard,medium_uncertainty
2012-10-15,bear_steepener,0.22478239634800112,0.3873770491803279,0.015959521483214195,collect_carry,low_uncertainty
2013-03-05,bear_steepener,0.30852436333719735,0.4522739726027397,0.011326006807419395,standard,medium_uncertainty
2013-03-11,bear_steepener,0.2507105194270969,0.4310958904109589,0.01092454121221631,standard,medium_uncertainty
2013-03-19,bear_steepener,0.3081504057439882,0.4521369863013698,0.01276194747229531,standard,medium_uncertainty
2013-04-01,bear_steepener,0.24953101650186002,0.430027397260274,0.013932994237882301,collect_carry,low_uncertainty
2013-05-10,bear_steepener,0.46012677162409754,0.5078082191780822,0.010607829686463302,standard,medium_uncertainty
2013-05-13,bear_steepener,0.37680901985714793,0.4772876712328767,0.010934889231522901,standard,medium_uncertainty
2013-05-20,bear_steepener,0.31278747989977906,0.4538356164383561,0.011059286737219606,standard,medium_uncertainty
2013-05-21,bear_steepener,0.25826446280991716,0.4338630136986301,0.010579162125209804,standard,medium_uncertainty
2013-06-11,bear_steepener,0.39939605848696724,0.4855616438356164,0.012985212239650101,standard,medium_uncertainty
2013-06-17,bear_steepener,0.33178452563479277,0.4607945205479452,0.011671596495623507,standard,medium_uncertainty
2013-07-01,bear_steepener,0.24080315411274675,0.414986301369863,0.0136156658887681,collect_carry,low_uncertainty
2013-07-02,bear_steepener,0.34330241950562784,0.465013698630137,0.014596812455665492,standard,medium_uncertainty
2013-07-12,bear_steepener,0.2471145591555117,0.4258630136986301,0.01581479241936279,collect_carry,low_uncertainty
2013-10-15,bear_steepener,0.19026422053352832,0.3278904109589041,0.010214292646366405,collect_carry,low_uncertainty
2013-11-25,bear_steepener,0.2483704810657848,0.4280273972602739,0.010727195201243295,collect_carry,low_uncertainty
2013-12-05,bear_steepener,0.29842750832055626,0.4485753424657534,0.017257199981779298,standard,medium_uncertainty
2013-12-10,bear_steepener,0.24337858891609163,0.4194246575342465,0.016257050452175487,collect_carry,low_uncertainty
2014-04-28,bear_steepener,0.2951366815003176,0.4473698630136986,0.0033467676295129006,standard,medium_uncertainty
2014-05-05,bear_steepener,0.23759180948141548,0.4094520547945205,0.003705175965753593,collect_carry,low_uncertainty
2014-08-25,bear_steepener,0.14333407522813263,0.247013698630137,0.00026570950833500195,collect_carry,low_uncertainty
2014-08-29,bear_steepener,0.19345966741915993,0.3333972602739726,-0.0027589648470393996,collect_carry,low_uncertainty
2014-09-08,bear_steepener,0.2437124415757845,0.42,-0.004544700273264798,collect_carry,low_uncertainty
2014-09-26,bear_steepener,0.315255600014958,0.4547397260273972,-0.0020441239379428017,standard,medium_uncertainty
2014-10-06,bear_steepener,0.2621536217792901,0.4352876712328767,-0.005154903010587089,standard,medium_uncertainty
2014-10-15,bear_steepener,0.3123387307879284,0.4536712328767123,-0.00717293752379719,standard,medium_uncertainty
2014-11-03,bear_steepener,0.40717437642571286,0.4884109589041095,-0.004678336557586191,standard,medium_uncertainty
2014-11-04,bear_steepener,0.35691447589843284,0.47,-0.0045190098331238104,standard,medium_uncertainty
2014-11-10,bear_steepener,0.41151228450693667,0.49,-0.002915730259911903,standard,medium_uncertainty
2014-11-11,bear_steepener,0.3606540518305221,0.4713698630136986,-0.0029386687045553916,standard,medium_uncertainty
2014-11-13,bear_steepener,0.5753057103324482,0.55,-0.0030784302677830944,standard,medium_uncertainty
2014-11-17,bear_steepener,0.6266126921207129,0.5687945205479451,-0.0019950239956366134,standard,medium_uncertainty
2014-11-26,bear_steepener,0.6766482180920681,0.5871232876712329,-0.008525367663599195,standard,medium_uncertainty
2014-11-28,bear_steepener,0.7366618675442199,0.5845753424657534,-0.01052817498221259,standard,medium_uncertainty
2014-12-02,bear_steepener,0.6714876033057846,0.5852328767123287,-0.009825073793244599,standard,medium_uncertainty
2014-12-15,bear_steepener,0.4292378744250399,0.4964931506849315,-0.0018059071837303875,standard,medium_uncertainty
2014-12-16,bear_steepener,0.48106839684379765,0.5154794520547945,-0.002920861221521298,standard,medium_uncertainty
2014-12-18,bear_steepener,0.34524699899031414,0.4657260273972602,-0.005669832014330911,standard,medium_uncertainty
2015-01-30,bear_steepener,0.21302979237544117,0.3671232876712329,-0.008636598355878211,collect_carry,low_uncertainty
2015-03-16,bear_steepener,0.15563893039966933,0.2682191780821918,-0.00912185900171858,collect_carry,low_uncertainty
2015-03-27,bear_steepener,0.2348414994753743,0.4047123287671232,-0.0072342253775797005,collect_carry,low_uncertainty
2015-04-13,bear_steepener,0.30298979095770506,0.4502465753424657,-0.0068137381235375966,standard,medium_uncertainty
2015-04-27,bear_steepener,0.20956408381291527,0.3611506849315068,-0.009233381924793796,collect_carry,low_uncertainty
2015-05-11,bear_steepener,0.15875488855680261,0.2735890410958904,-0.011380227733529091,collect_carry,low_uncertainty
2015-06-05,bear_steepener,0.21058153953769354,0.3629041095890411,-0.013649360778902803,collect_carry,low_uncertainty
2015-06-24,bear_steepener,0.15969285555308257,0.2752054794520548,-0.017192522391026505,collect_carry,low_uncertainty
2015-07-13,bear_steepener,0.21161489300817138,0.3646849315068493,-0.010599230399169518,collect_carry,low_uncertainty
2015-08-07,bear_steepener,0.28593732470737804,0.444,-0.0032090226836072044,standard,medium_uncertainty
2015-08-17,bear_steepener,0.2335855775651012,0.4025479452054794,0.0010253349098568176,collect_carry,low_uncertainty
2015-08-31,bear_steepener,0.28414232825997504,0.4433424657534246,0.0015823437929577966,standard,medium_uncertainty
2015-09-03,bear_steepener,0.3658146666168053,0.4732602739726027,-0.00026183001538251927,standard,medium_uncertainty
2015-09-04,bear_steepener,0.44763658801091927,0.5032328767123287,-0.00022433813685229786,standard,medium_uncertainty
2015-09-10,bear_steepener,0.35691447589843284,0.47,-0.003317326225039219,standard,medium_uncertainty
2015-09-11,bear_steepener,0.44950637597696397,0.5039178082191781,-0.0014399195412382049,standard,medium_uncertainty
2015-09-28,bear_steepener,0.5277383044762722,0.5325753424657534,-0.0026284864355060056,standard,medium_uncertainty
2015-10-02,bear_steepener,0.5949917729329495,0.5373972602739727,-0.006893225808295406,standard,medium_uncertainty
2015-10-05,bear_steepener,0.4921375416027821,0.5195342465753425,-0.005448773067725898,standard,medium_uncertainty
2015-10-08,bear_steepener,0.43664223477057673,0.4992054794520548,-0.0017076442774427159,standard,medium_uncertainty
2015-10-19,bear_steepener,0.487949216558842,0.518,0.0001567549520821998,standard,medium_uncertainty
2015-10-29,bear_steepener,0.42662017127257723,0.4955342465753424,0.002031125829257796,standard,medium_uncertainty
2015-11-03,bear_steepener,0.4791238173591113,0.5147671232876713,-0.0008610747334114877,standard,medium_uncertainty
2015-11-12,bear_steepener,0.5669374742904152,0.5280547945205479,-0.006166776242890498,standard,medium_uncertainty
2015-11-16,bear_steepener,0.6261639430088625,0.5686301369863014,-0.005433991203766503,standard,medium_uncertainty
2015-11-27,bear_steepener,0.7023017089862003,0.5965205479452054,-0.003968947742166107,standard,medium_uncertainty
2015-12-14,bear_steepener,0.6388037096593242,0.5732602739726027,-0.009762863974969394,standard,medium_uncertainty
2015-12-17,bear_steepener,0.5836823604203284,0.5530684931506851,-0.00664971824709501,standard,medium_uncertainty
2015-12-23,bear_steepener,0.5011873153584382,0.5228493150684932,-0.002774147877470101,standard,medium_uncertainty
2016-01-29,bear_steepener,0.7076979374910468,0.5984972677595629,0.013432290820634796,standard,medium_uncertainty
2016-02-10,bear_steepener,0.7795413390115117,0.7289617486338797,0.013210240683909413,pay_spread,high_uncertainty
2016-03-04,bear_steepener,0.9250526222330892,0.9679781420765028,0.008955343538473298,pay_spread,high_uncertainty
2016-03-11,bear_steepener,0.853327101924352,1.016120218579235,0.012335198231489874,pay_spread,high_uncertainty
2016-03-22,bear_steepener,0.9350301984701708,1.00327868852459,0.008233874066981395,pay_spread,high_uncertainty
2016-03-23,bear_steepener,0.8500063915668093,1.0031967213114754,0.010903267493665103,pay_spread,high_uncertainty
2016-03-30,bear_steepener,0.9256704288112366,0.9701639344262296,0.00562829646489571,pay_spread,high_uncertainty
2016-04-01,bear_steepener,0.8478791711897788,0.9949180327868852,0.00556585098826981,pay_spread,high_uncertainty
2016-04-13,bear_steepener,0.9098854707395687,0.9143169398907104,0.003053833297047115,pay_spread,high_uncertainty
2016-04-14,bear_steepener,0.82715456870465,0.9142622950819672,0.0031430569454184987,pay_spread,high_uncertainty
2016-05-02,bear_steepener,0.9396869155529575,1.0197540983606557,-0.0008063409444043074,pay_spread,high_uncertainty
2016-05-03,bear_steepener,0.8541976475571962,1.0195081967213115,0.001267478047763504,pay_spread,high_uncertainty
2016-06-02,bear_steepener,0.7895526137892197,0.7679234972677595,0.005973773546861003,pay_spread,high_uncertainty
2016-06-28,bear_steepener,0.870809204671741,0.7760655737704918,-0.001754932295916195,pay_spread,high_uncertainty
2016-07-04,bear_steepener,0.8181402090871346,0.8791803278688525,-0.001008811521977293,pay_spread,high_uncertainty
2016-08-18,bear_steepener,0.7530388409148445,0.6258196721311475,-0.002705901212574302,pay_spread,high_uncertainty
2016-11-28,bear_steepener,0.8132328591084405,0.8600819672131148,0.009615396738676701,pay_spread,high_uncertainty
2017-05-15,bear_steepener,0.7578088577998907,0.6443835616438356,0.0186597869325429,pay_spread,high_uncertainty
2017-05-19,bear_steepener,0.5753057103324482,0.55,0.023740592854234507,standard,medium_uncertainty
2017-06-02,bear_steepener,0.6254908193410867,0.5683835616438357,0.020227726403443794,standard,medium_uncertainty
2017-06-06,bear_steepener,0.4546669907632471,0.5058082191780822,0.022515029023184197,standard,medium_uncertainty
2017-06-09,bear_steepener,0.3707509068471632,0.4750684931506849,0.02345805452247711,standard,medium_uncertainty
2017-06-13,bear_steepener,0.750241111904121,0.6149315068493151,0.022770191483995506,pay_spread,high_uncertainty
2017-10-02,bear_steepener,0.5839067349762531,0.5531506849315068,0.028002809334226594,standard,medium_uncertainty
2017-10-03,bear_steepener,0.6385793351033988,0.5731780821917808,0.0279734466709069,standard,medium_uncertainty
2017-10-09,bear_steepener,0.5864496466100739,0.5540821917808219,0.0278688677305607,standard,medium_uncertainty
2017-10-18,bear_steepener,0.6619890804382779,0.5817534246575342,0.0271987114496704,standard,medium_uncertainty
2017-11-03,bear_steepener,0.5219793575408549,0.5304657534246576,0.03269214165438131,standard,medium_uncertainty
2017-11-09,bear_steepener,0.696318387494858,0.5943287671232877,0.0295195276782685,standard,medium_uncertainty
2017-11-22,bear_steepener,0.5821865300474922,0.5525205479452054,0.0302933590278274,standard,medium_uncertainty
2017-11-28,bear_steepener,0.37680901985714793,0.4772876712328767,0.03251236198834209,standard,medium_uncertainty
2017-12-01,bear_steepener,0.24999205112715017,0.4308219178082192,0.033965368702042906,collect_carry,low_uncertainty
2017-12-11,bear_steepener,0.3281197412213452,0.4594520547945205,0.03412904641403561,standard,medium_uncertainty
2017-12-28,bear_steepener,0.4925114991959907,0.5196712328767122,0.0343977905376327,standard,medium_uncertainty
2018-01-22,bear_steepener,0.7506775772488072,0.6166301369863014,0.027602169685341196,pay_spread,high_uncertainty
2018-01-29,bear_steepener,0.6767230096107096,0.5871506849315068,0.025994244424686397,standard,medium_uncertainty
2018-02-09,bear_steepener,0.7357335178190789,0.6087671232876712,0.027566831803187697,standard,medium_uncertainty
