date,position_type,position_size,uncertainty_level,execution_style,entry_spread,entry_std_4y
2012-02-01,bear_steepener,0.2435856071018965,-0.06035348596933637,collect_carry,0.018425073554928506,0.4197814207650273
2012-09-10,bear_steepener,0.34632309772574515,0.19264619545149034,standard,0.013956441274715,0.466120218579235
2012-10-01,bear_steepener,0.2437124415757845,-0.059160091245653086,collect_carry,0.016000933262644707,0.42
2013-05-10,bear_steepener,0.46012677162409754,0.420253543248195,standard,0.010607829686463302,0.5078082191780822
2013-05-15,bear_steepener,0.3397124266108222,0.17942485322164434,standard,0.011603072622788702,0.4636986301369863
2013-07-16,bear_steepener,0.23837079902069883,-0.1094199917729333,collect_carry,0.015445679053790295,0.4107945205479452
2014-11-03,bear_steepener,0.40717437642571286,0.3143487528514258,standard,-0.004678336557586191,0.4884109589041095
2014-11-13,bear_steepener,0.5753057103324482,0.6506114206648962,standard,-0.0030784302677830944,0.55
2014-11-21,bear_steepener,0.6755263453124409,0.851052690624882,standard,-0.0066573761019456945,0.5867123287671232
2014-12-15,bear_steepener,0.4292378744250399,0.3584757488500799,standard,-0.0018059071837303875,0.4964931506849315
2014-12-23,bear_steepener,0.29573501364945204,0.09147002729890406,standard,-0.006956294611064784,0.4475890410958904
2015-02-20,bear_steepener,0.18487488474134364,-0.612766912232153,collect_carry,-0.006988873301427001,0.3186027397260274
2015-04-13,bear_steepener,0.30298979095770506,0.10597958191541018,standard,-0.0068137381235375966,0.4502465753424657
2015-05-04,bear_steepener,0.19323709897936467,-0.5340862346209944,collect_carry,-0.010180413898766894,0.3330136986301369
2015-09-01,bear_steepener,0.32041621480124144,0.14083242960248285,standard,0.0014155915544480924,0.4566301369863014
2015-09-04,bear_steepener,0.44763658801091927,0.39527317602183853,standard,-0.00022433813685229786,0.5032328767123287
2015-11-16,bear_steepener,0.6261639430088625,0.7523278860177249,standard,-0.005433991203766503,0.5686301369863014
2015-12-23,bear_steepener,0.5011873153584382,0.5023746307168764,standard,-0.002774147877470101,0.5228493150684932
2016-01-29,bear_steepener,0.7076979374910468,0.9153958749820936,standard,0.013432290820634796,0.5984972677595629
2016-02-19,bear_steepener,0.8128607710556925,2.335684770505493,pay_spread,0.018680743760997903,0.8586338797814207
2017-05-19,bear_steepener,0.5753057103324482,0.6506114206648962,standard,0.023740592854234507,0.55
2017-06-06,bear_steepener,0.4546669907632471,0.40933398152649425,standard,0.022515029023184197,0.5058082191780822
2017-06-13,bear_steepener,0.750241111904121,1.0051232190269617,pay_spread,0.022770191483995506,0.6149315068493151
2017-10-02,bear_steepener,0.5839067349762531,0.6678134699525062,standard,0.028002809334226594,0.5531506849315068
2017-10-20,bear_steepener,0.6906342320780818,0.8812684641561638,standard,0.026542886340035196,0.5922465753424657
2017-11-03,bear_steepener,0.5219793575408549,0.5439587150817097,standard,0.03269214165438131,0.5304657534246576
2017-11-09,bear_steepener,0.696318387494858,0.8926367749897158,standard,0.0295195276782685,0.5943287671232877
2017-11-22,bear_steepener,0.5821865300474922,0.6643730600949844,standard,0.0302933590278274,0.5525205479452054
2017-11-28,bear_steepener,0.37680901985714793,0.25361803971429586,standard,0.03251236198834209,0.4772876712328767
2017-12-01,bear_steepener,0.24999205112715017,-7.479151864188569e-05,collect_carry,0.033965368702042906,0.4308219178082192
2017-12-28,bear_steepener,0.4925114991959907,0.4850229983919813,standard,0.0343977905376327,0.5196712328767122
2018-01-22,bear_steepener,0.7506775772488072,1.0143973673385434,pay_spread,0.027602169685341196,0.6166301369863014
2018-01-30,bear_steepener,0.6500972289742342,0.8001944579484682,standard,0.02535648211070199,0.5773972602739726
